name,place_id,city,county,address,website,phone,rating,reviews,photo_ref,heat_source,cold_plunge,dog_friendly,showers,changing_facilities,sea_view,opening_hours
Lakeside Saunas Virginia,ChIJw2TOah__XUgRoqCWoi54jQY,Cavan,Cavan,"LAKESIDE MANOR HOTEL, Dublin Road, Burrenrea, Virginia, Co. Cavan, A82 YH30, Ireland",https://lakesidesaunas.simplybook.it/v2/?fbclid=PAb21jcAN-2pVleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaf4-hx1rtTuPr74i9pIwXaBXg0pSpio_nH4OShDQVv04KHDBXfZy4MAZXvLoA_aem_kcb-rwMAvPzIFHpK3IRLJA,083 163 2520,5.0,14,ATCDNfVtpK7KrnRQFYXziZR08HeufJOKlcfWdPLr4c5ptedOHrf3LNDJgYMK3UB8jqVi8JGXS2gpfrUUD9d4G8YIhCYWDqiuWiIkfT1k-JzcGZUR88AGqttszn9pNAnzI7HezEDDJg5tL9kwNL4QcmZsSUQzbq0PkSxtA6kNuC-Q9iRxfQSV0yGvEQo2Qbqb1euRoXbN-qtVxgNK0W9wSxTE-qRM-Yqfyd9ixhLC1k_kSvK13DPElPUFor3a8-IvUhzWy3HXZHZYYLGL-WyY_e0ot3VJyGtXic88z0RPU8bVB179JPK2FYxEZLAGzPg0CMbIv7pvqseq5WszBAkXCtXKvHAdn1Cr8sF3_oZJmJE7FzH3R42q4iiUYN0_el3GMHFLOdQOkuiqLS_qSl6eolic6B29aMzLlIAzX17TN0IQ8NLxSRGg,not listed,yes,no,no,yes,no,Monday: Closed|Tuesday: 5:00 – 10:00 PM|Wednesday: 5:00 – 10:00 PM|Thursday: 5:00 – 10:00 PM|Friday: 5:00 – 10:00 PM|Saturday: 10:00 AM – 10:00 PM|Sunday: 10:00 AM – 10:00 PM
Live Lagom Sauna,ChIJxUKays8TXkgRww-dvZW78qc,Cavan,Cavan,"Annagh Lake, Annagh, Co. Cavan, Ireland",http://livelagom.ie/,,5.0,10,ATCDNfWmRqiG2BcaDDzwcvtTgEb5mu5iURdBTfbpp9gSGBw4yNsvpMfMD8IEON-brB8R5QB3Jq30zRb409_0R25fMZV7OmxLN_Ps4c4h6ayJlgKRU7kxVA7EIvW5dAWFlXQ87Pxkwc553LNHmvXbp5BLURi-oBznX25j33cakwVXQ2XAJxrfFqZmpDzPmNfGriPV30dh-upZ5ldNF0ALralcgLZYnC9o63yRrRayPf7aNxLoeBlrLVbDBjAv-cuL2Qr0Cf8eupjO_xY2toeHoYoNx3OG1GOtA8h9Ujk2bD8lpC3uD71uE405LVSfcSr4rxP6UvihB2VbuqE7xBQ3L1bl0hA0S4HoJgVvdel1QPIL2Cjv6hFdHKdivzIBpKqvjaJOKopBtiqPS1OukaDMymEL62NB9EpVqeuAScB2BdJxxlml_WM7,wood,no,no,no,yes,yes,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: 4:00 – 10:00 PM|Saturday: 8:00 AM – 2:00 PM|Sunday: Closed
Live Lagom Sauna,ChIJnTtyT59pXkgRg5JVcaPzDXE,Cavan,Cavan,"47RX+3R location on N87, Lake Car Park, Brackley, Bawnboy, Co. Cavan, Ireland",https://livelagom.ie/,083 022 5026,5.0,1,ATCDNfVR8vVCnv3fzlPQaxAktSKR6NamdQW8-ParbbenbEU-mh7OyWE-qY5sOtxxm-tR7nZCcfh6ux6pW13oCNraEIhR5784rYJEziD1-K4dBopAUgahTc3ND9-JT1GMeX_mw10YIMK1V2E2oqcar8qbVlPMPm34iocrR-yKlHPIpndDe9iOjj6gYGCl_JuIowYmIKVrTR5yp-WVw9b4eLkfhZP5cNtM9wyczwfgKUzLZZ9VPIc2IXdL-ysYJD51EmK1xdzJDSoGbPo373K_GDtfju3d7YYCrdrbWpAfHSwaHd0d8g,not listed,no,no,no,not listed,no,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: Closed|Saturday: 9:00 AM – 2:00 PM|Sunday: 9:00 AM – 3:00 PM
Loyly Sauna,ChIJNaN-QdB1Z0gRuabT2px1F7U,Dublin,Dublin,"5 Old Belgard Rd, Tallaght, Dublin, D24 WD00, Ireland",https://www.loylysauna.co/,087 035 6077,5.0,1,ATCDNfVrYbI64ulDr_w3bMBP_4WkEXT3Py4hyBx6DY2ej_wS-qtV_twoi5YROhZd3Plp-3bgyp4iBNTW2hxgykKWzLSv-7dEhWMhgRup7sH2CP3xngK7cDsSaLypCEtj7mu0dftTahwWS0Jel1t5kw-84DJ67gTRHuarsLNmOZf092ubcgLBwKAvRfxj-cm6sFm2ikmMOExkbEKn0VZVzg4YinsPhAvkB0N_VdjaDdeqV61Bif_3f5IH7aMasVIB1gGlZvtHyjWZeejsGiSzdRjKTasmquKe1ZSd4QYuhbC1-Vklgg,not listed,no,no,no,yes,no,Monday: 9:00 AM – 11:00 PM|Tuesday: 9:00 AM – 11:00 PM|Wednesday: 9:00 AM – 11:00 PM|Thursday: 9:00 AM – 11:00 PM|Friday: 9:00 AM – 11:00 PM|Saturday: 8:00 AM – 11:00 PM|Sunday: 8:00 AM – 11:00 PM
Mercury Sauna Portmarnock,ChIJsQw1b09mZ0gRBLLplU2lA7s,Portmarnock,Dublin,"Portmarnock Beach North Car Park, Burrow, Portmarnock, Co. Dublin, Ireland",https://www.mercurysauna.com/,089 414 7488,5.0,10,ATCDNfUn68pwDBVUQIIa3sP85d_UECLnp9eD_GAEeyuvXFQYVX9gMF2rdDTsx8WUsZobSmwOVR3sbRs9Epl3MmJPzd5EsHJ0viJeI47Mad3mW0_3M7tqyTb8BOW9WuTGBGHo29UAXB6890qK7xpdJvyhKLAykdOCxbLl6DEz9gk6IDT5N474HoPCrPOS-SWSJWOGiGtiPY4-HZ3dj-_y4OL3lU9izHe0DBSTeCY4UP6PtEKFOzh69EI8yS27YGMBZOsKAgOXeno7qXdULEXcimpTxaRH1BElfi4hutthsHTOMelSXw,not listed,no,no,no,not listed,yes,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: Closed|Saturday: 10:00 AM – 5:00 PM|Sunday: 10:00 AM – 5:00 PM
Millicent Sauna,ChIJ9eSbzzF5Z0gRSXfXG_s0-rc,Clane,Kildare,"Millicent Rd, Millicent South, Clane, Co. Kildare, Ireland",https://millicentsauna.com/,085 889 2816,,,,not listed,no,no,no,not listed,no,Monday: 10:00 AM – 10:00 PM|Tuesday: 10:00 AM – 10:00 PM|Wednesday: 10:00 AM – 10:00 PM|Thursday: 10:00 AM – 10:00 PM|Friday: 10:00 AM – 10:00 PM|Saturday: 10:00 AM – 10:00 PM|Sunday: 10:00 AM – 10:00 PM
"Mountain Cottage with Barn Sauna, Clonbur, Galway - Two-Bedroom House",ChIJFQWMrCbFW0gReiZF4p-BylE,Ballard,Galway,"Ballard, Co. Galway, Ireland",https://www.bluepillow.com/search/6811c6366178c7268f2e0657?dest=bkng&cat=House&lat=53.52518&lng=-9.39746&language=en,,,,,not listed,no,no,no,not listed,no,
"My Haven Sauna, Oysterhaven",ChIJB2uI34VjREgRAo5kKtTuauM,Kinure,Cork,"Oysterhaven beach, Kinure, Cork, Ireland",http://myhaven.ie/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6853665662078849319,086 772 1444,5.0,93,ATCDNfUL4Auxg1WHU1PwtHqrYzphsf82_PNtMgb7joC8i5obRYGwxxoY2VmQWiJVD0sSFrpKH9a3x01EnMFwC7SD39YvxuPvJBYxNILGOw4TX0eoD_QCm3iMC8MW7PNE4PZmH4cKSNaorfbA2aKPngnbG7PZC09-9eDJQaViy9ecf7t_jCFBEcU2lWyGBx8c74BjZpmHSjdJdtWH0tduiMR-6T4oqPB160NG2rLDU7Owvt7--VnPuW5Uz6bLOO56CzFFZhO-Z-Y17hYewPynBevhg6-hldlCjH2k88Vfro3lTWsxhA,not listed,yes,no,no,not listed,no,Monday: Closed|Tuesday: Closed|Wednesday: 3:30 – 8:00 PM|Thursday: 5:00 – 8:00 PM|Friday: 2:00 – 7:00 PM|Saturday: 8:10 AM – 5:30 PM|Sunday: 8:10 AM – 5:00 PM
My Hot Spot,ChIJP1SnxSRzQ0gR1uUI56WT5aU,Youghal,Cork,"Redbarn, Youghal, Co. Cork, Ireland",https://www.myhotspot.ie/,087 638 1992,5.0,13,,not listed,yes,no,yes,not listed,no,Monday: Closed|Tuesday: Closed|Wednesday: 6:00 – 10:00 PM|Thursday: Closed|Friday: Closed|Saturday: Closed|Sunday: 9:00 AM – 3:00 PM
Naturally Sauna,ChIJkWabraP1REgR2RcN71f4QxU,Co. Cork,Cork,"Kilmacsimon, Co. Cork, P72 KW58, Ireland",https://naturallysauna.com/,086 772 1444,5.0,7,ATCDNfUoZNQc6BkrdRNkUzTy8VSBPwpwMtgR4LtiVMPfL2VbXpgpBLHYwxhiazEG9yM-MNsKTzDOpT0HmYigCBwazpPQpoUgXC7fq29a3GbbewAjZpiQ-WTSZOKiTNdvvpGGlRepEO1SlmMrJlkyqX4ZSTqSzJmZT_B4fmIDXbhZHF01QBQfWziGKQGWHyyj_YQmwwPRyCVOvDuylozzz9kdatqR-iTAmRHE5MoybyCvYg_lxyAfuLM_XcTRh6Kuh6_fgBkrGfEL6HQH6n6zjj4ctP0dB2VIz2zhyr_0RtiNjUkFlA,infrared,yes,no,no,not listed,no,
NebulaSpa - Home Saunas | Jacuzzis | Freestanding Bathtubs (ONLINE STORE),ChIJpWzbuMkRZ0gRVKMM65F3RKw,Dublin,Dublin,"14-4 Shrewsbury Rd, Sandymount, Dublin, D04 C2C8, Ireland",https://nebulaspa.eu/,,4.9,32,ATCDNfXiuEH61Eoh8dSBMD3XFmm2Jhvw0D3k1i2uXg3t9bI2OykW0ixQji5ZnQuU_5FWTj7jcWsFqrhstFMEhUbITVnmA5EftZCmdlkmLB4yXBkzBFIB4hZMSg31Znma28EQf8gSdWoKo_h9CPyC67QPP-zpYHCFwLYMaBQVsUHII3RM4YHSBxTxNyx-P_S_CN3AB22AXPW2RgLzriKnVsKPmJyHSJvjujoJd5aeLJcxVLl17V1643Znhuy2bfdNru_uSMpMCh4Qn57LvaCUen6lrDSh5cS6thN9d2qkuahwRP9X8g,infrared,no,no,no,not listed,no,Monday: 12:00 – 8:00 PM|Tuesday: 12:00 – 8:00 PM|Wednesday: 12:00 – 8:00 PM|Thursday: 12:00 – 8:00 PM|Friday: 12:00 – 8:00 PM|Saturday: Closed|Sunday: Closed
OM Saunas,ChIJtexRZSoBX0gRWIKHWWcHEKU,Co. Donegal,Donegal,"Rossnowlagh Beach, Rossnowlagh Lower, Golf View, Co. Donegal, F94 X7X3, Ireland",https://www.omsaunas.com/,087 358 3475,5.0,12,ATCDNfV74CnBo99eADNIEkqZiYZ4D1eyy-49YkidNFUgFFk4pNgJ3NuO_w1vgHvmbGLrhAdtmZpqgF0aXz04RNOTXXQHok8j52oHAxRHIahGXUje1IvI5wWuBytw4GR0f2L9PHnB2Y0z_8NM0lgJAtl31bkTqO8mqsjAigjny_YDzMRy2wvS3kukLZWr7bcDTZKnUvb0Hr9EM4m5mq91JXPAzHExnpduNNlyji0iTFsSYx4zyltNWozrJwriPwMwBBAKvwVdzmVZqs0N9-4et2IooyQ2_PU1IMRRLFHoMiXGE_9Z1w,wood,no,no,no,not listed,yes,Monday: Closed|Tuesday: Closed|Wednesday: 5:30 – 7:30 PM|Thursday: Closed|Friday: Closed|Saturday: 12:00 – 7:00 PM|Sunday: 12:00 – 7:00 PM
ONe Degree Sauna and Cold Plunge,ChIJreXnAYhbW0gRKs3QjxP5-AQ,Limerick,Limerick,"Takumi park, Rosbrien Rd, Dooradoyle, Limerick, V94 K5V2, Ireland",,089 980 3204,5.0,9,ATCDNfUwKVo50Mtx3jo2MjcTdeSW7_-hoRU8N6IXajAwJnkGyFWLTyklsAcZXqTupVdlILo3BWr2BLwb0dqc0dFoYuNGMkEQEx8t9BWlwtIx_tCSZO7ey8qMDPcnOao89q--nGQtv8Lr-0F6I10itWoN47G6brmx7YuYIwZVCYAMqAdhRAEegMnyJo10hV5oamTf0Tvl939G_s6TFmiVvnqh1Z5elPOAqMfYGW6jDYyDjdHci5t7uXMKfNxYhW6QNeZwWQ6wCmK9ZM1fbYVErue3aX5sahS_gCCEBKj5GkpLyPY,not listed,yes,no,no,not listed,no,Monday: 6:00 – 10:00 PM|Tuesday: Closed|Wednesday: 6:00 – 10:00 PM|Thursday: 6:00 – 10:00 PM|Friday: 6:00 – 10:00 PM|Saturday: Closed|Sunday: 10:00 AM – 4:00 PM
Oak Smoke Sauna,ChIJtZicead9XEgRyotqqr1ls70,Loughrea,Galway,"Long point, Knockanima, Loughrea, Co. Galway, Ireland",https://wunderbook-production-mobilewebapp.azurewebsites.net/app/Discover?tenancyName=OAK_SOKE_SAUNA,086 819 0162,4.4,7,ATCDNfUQB_dzplJ2eC7QOYWhTLpg_O-J8wZdsismFGaD9Bs16R318OdUGtaOO2ibYa3HWTopzKo5gXUhQDgzI21UlQXtkH1Y3it1YA4xqltg6CB194ycISTwWqdApIkkYC1W2_T6TjEcfShMjk4ZSIAQRU9UX2t51IioZjRazGZZVCQGbQVubpDrUYgMfVwSq8_GpCQ-sOn-db_u41KHI_mLjrDUXqNd4Qc29UuX1KMWo69LqqMmT1T2RDOl7JLEkk2az80uvqDHVuvg1ZsUG-x80R1KK3ZS4mCFJzOniZD8yKUiwQ,not listed,no,no,no,not listed,no,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: Closed|Saturday: Closed|Sunday: 9:00 AM – 4:30 PM
Oakdale Sauna and Wellness,ChIJmw6Tb1alQkgRZOSrW_3zDtg,Wexford,Wexford,"Oakdale, Longraigue Road, Longgraigue, Foulksmills, Co. Wexford, Y35 W7P2, Ireland",https://www.oakdalesaunaandwellness.com/,085 151 1754,5.0,10,ATCDNfVx-lDWogm9Pg5k23n5U4YUz46LsHnhPW2e_b59OoxjhaFhgxgBLKWLzB--CHUDTt2axJjokeoW_NVcnmh6D2neLT3mHK0_yIXzo-BCWVktnMc_DVEtaYQOENEsCtpoAN4A6Grw3QQwA_Z9DRdb4wHLNqrMZGJRpBfuHDR1953jnvzpvFjUpCINM80RxKeVF_loFB0eABZqiEcQwZuS0Q26a3T4TWLWNssfOInqbtnUGSP-eFiqbZ7aj_-1nDMtCrB5lI_DzRlTZD7JryK_8PQpPZteDpTshAGSCEQs-rhV4g,not listed,no,no,yes,yes,no,Monday: 6:00 – 9:00 PM|Tuesday: 6:00 – 9:00 PM|Wednesday: 6:00 – 9:00 PM|Thursday: 6:00 – 9:00 PM|Friday: 6:00 – 9:00 PM|Saturday: 9:00 AM – 1:00 PM|Sunday: Closed
Obsidian Sauna,ChIJpVzxTAAJZ0gR-_Y4T2uiGos,Mountashton,Dublin,"Stradbrook Rd, Mountashton, Dublin, Ireland",,,5.0,1,ATCDNfUYhaIPEtMuFud_SQMgXenv1SU-1tpmtj9s_Hg5a7zswwl9oyVM2j6hXB9GBtK8wFyEM4vRXClKP5tNVPjJ2qVDSbJP_lsULQ8ee9DCnL6BNHM0Ze1UWwFHo39679Iw-EovzIZ9J5jSetIzHGTkCeGBlwXhDQ9TMF0zFGvITVNXxW58DCSUMKnrilbRomrjZe0C-J2vk0baeUF0voPHuudrM8UZDdVMaj2kcA7boCVsNqlWvvGytS_B3uZZCbEFBkeGabIFh5sRj2FkBv6s0YTJ85j2_w7OXwzS-qt5yDv-5Ft1IEbySK_ciLk8IrD8ArzQqQT60rb063rLFuSgD8Zj_zR0-_zeBV34wIKHYeDo8umlsB69wuAu9etwc9jsCKh132BkkaKkXlpenbyO0in8nWFPkaE8TkVEor59HwUy93Lj,not listed,no,no,no,not listed,no,Monday: 5:00 – 10:00 PM|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: 5:00 – 10:00 PM|Saturday: 10:00 AM – 8:00 PM|Sunday: 10:00 AM – 8:00 PM
Oileanra Seaweed Baths and Sauna,ChIJgwZbyelPWkgRxJ2Kn5FHQM8,Co. Galway,Galway,"Maumeen, Lettermullan, Co. Galway, H91 FY52, Ireland",https://www.oileanra.ie/,087 615 4740,4.9,30,ATCDNfXpr4ZUYP04DfxHjGs2TB6wEV7UD5Bn63-DtF13P1GE1EtGkHnPmLiRo3I3gLYbQYckGX7kk4k9SJltG5lj1Vz-QOSOuPoKZdC7M-EZA6Jl8n3G3b7F9C9wEths5el8JsSof4P_xWqfe52IeGejxvTP1sg7cV_dW-uCutAC45ZtP0NsIagUlQ39glxE2Zkk-PhpKhWNj4dNRUpe0xQNNc4idbfiVng98tqX-iLAkTADgr6s9ZzpZfZvFx4IUwc3IMVMCx3TpVNBQhf3-ehx5Sb15__7pCUzXKO2Vef5dkdrlCBkgJ4fDN3QpECVFnK5GlTfw5Fis6w2T_DuDK14Hhh4I86Mq-AnkBy51q_G5DzvMYMJw_Cc8Vmjfc2rj_1Vs1A2RS9t8A24W1QJRvaoQtcdWJcLdqPEEE3WcIAlLb_C1w,electric,no,no,yes,yes,no,Monday: 9:00 AM – 8:00 PM|Tuesday: 9:00 AM – 8:00 PM|Wednesday: 9:00 AM – 8:00 PM|Thursday: 9:00 AM – 8:00 PM|Friday: 9:00 AM – 8:00 PM|Saturday: 9:00 AM – 8:00 PM|Sunday: 9:00 AM – 8:00 PM
Only Heat And Horses Sauna,ChIJ15Mv7oJjREgR0U4zGGOZaeQ,Cork,Cork,"Oysterhaven Bay Beach, Kinure, Cork, P17 AX62, Ireland",https://www.onlyheatandhorsessauna.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8563078447123156656,087 193 4138,5.0,6,ATCDNfUa_xizNProhm_auqgzxgA-Mz9kTKrM4_PE7b3NCoKw0fxBA-CLeSZDQCMbZ7Ef3JzdBWAH50bG72ByKBBzxpQrLlhnopWuwbAoNcdNzJ0Zxa8au7btaACUzwzlT8N7U5HIW9S29q_pqdWpSG288eZ_lDXH1wqaeeD1MQYq-HJYWYJeO7mnGfN1moNKo_MPE5W30JJhPodp3uokoy6pAD09ZYlYiKHe75UZqBZJUgOvZjcd3SwpDtRwqbmqAhKe1ZX7jKyqaWDVRVaheipHi0F39bd4_PLIk7y5B4D0nNMXm0t6-GuXldNVVvCYUMxiq2b9PUTAMIEOEWEERJttGNFcMzb-kX4eFwu3b4E38GNWEOfF2rvEUXznWUiClfVy1FkWWi-czT6Ae9SNFKWfjmIjlg2AzqPfzI-a539stQzCrT3c0LEE4AeaA9-bJQ,not listed,no,no,no,not listed,yes,Monday: 4:00 – 8:00 PM|Tuesday: 4:00 – 8:00 PM|Wednesday: Closed|Thursday: Closed|Friday: 4:00 – 8:00 PM|Saturday: 9:00 AM – 7:00 PM|Sunday: 9:00 AM – 7:00 PM
Orchard Sauna,ChIJd2zvM1-7YEgRqvFIJ5ad34E,Monaghan,Monaghan,"Market Square, Onomy, Castleblayney, Co. Monaghan, A75 VY02, Ireland",https://www.orchardsauna.com/,083 083 9808,,,,not listed,no,no,no,not listed,no,Monday: 5:00 – 10:00 PM|Tuesday: 5:00 – 10:00 PM|Wednesday: 5:00 – 10:00 PM|Thursday: 5:00 – 10:00 PM|Friday: 5:00 – 10:00 PM|Saturday: 10:00 AM – 10:00 PM|Sunday: 10:00 AM – 10:00 PM
"Outback 365 Dungannon | Hot Tubs, Saunas & Pergolas NI",ChIJrUEOgpTzYEgR7xAyZDA4S4s,126 Tamnamore Rd,Northern Ireland,"Unit 4, 126 Tamnamore Rd, Dungannon BT71 6HW, UK",https://www.outback365.co.uk/dungannon-showroom/?utm_source=GMBlisting&utm_medium=organic,028 8747 0303,5.0,8,ATCDNfXqaqeqXwLypIPScDOa_KmiGB0hsEFj7UK4uNuxEabhpJoolNhu3ZWpa4X6DUj9bDthxuniEQIz6We1sm0IIyhb6qoPQSPjusTFQRqD_G-kEqdeVmC004SCIiGNbksgrNEZ63SzHohW0vtRrdOXWhqb6yjkQLkApFrHfx5-KtMSX0SycxxYmmRMRc0SkfyoQ1sRrgWA7q7Isd3bxiN-H5Tymsn0Ofy4x6Dp-vBsboN4QziT0Prx7s4nTdVMM1-ynPR3VKpYK53t_kdhZI1su289L2lmz25TiuyeTz9Jfw4YBQ,not listed,no,no,no,not listed,no,Monday: 10:00 AM – 4:30 PM|Tuesday: 10:00 AM – 4:30 PM|Wednesday: 10:00 AM – 4:30 PM|Thursday: 10:00 AM – 4:30 PM|Friday: 10:00 AM – 4:30 PM|Saturday: 10:00 AM – 1:00 PM|Sunday: Closed
Outdoor sauna and leisure,ChIJDZDM77FzXkgRrwJNzNUF-O0,Cavan,Cavan,"Church St, Portaliff Or Townparks, Killashandra, Co. Cavan, H12 AY01, Ireland",https://www.outdoorsaunaandleisure.ie/,087 760 5815,5.0,14,ATCDNfW0ZPyIRhFlxVw9DAq4GpXvIiYvubyG4y8RBkc69XSQJgFPfOGdjnrD6PEqpBRg6OYgiWSndWyYMJ8D7C9otF-rF0Gg2FgmoQ3d8Nfv04GoiEJwaPpD4zNKaMJVnK7f9nEorDpFNrFwssDx2mnkl7wUE4EMpXxjqGbklDW2uESJJQlDL5Q4nsmzm1Txw3XgN4tvjbSYo7z9yCWW5A4XMyUIEvidaGiSK1Llb06yHydn3yw6jSaLKcsKb9aLjeJNA9YOMmN6J-FIv1gI5imEEHg5Uqgrofnrm8evjt8LFDYI6g,not listed,yes,no,yes,yes,no,"Monday: 6:00 – 10:00 PM|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: 6:00 – 10:00 PM|Saturday: 12:00 – 8:00 PM|Sunday: 8:00 AM – 12:00 PM, 2:00 – 8:00 PM"
Outside Leisure (Sauna),ChIJW9VwRZwJYUgRks1cpUlI97o,1-5 Donegall Ln,Northern Ireland,"1-5 Donegall Ln, Belfast BT1 2LZ, UK",http://www.outsidesaunabelfast.com/,07731 301682,2.9,48,ATCDNfU-L0m8WG5DABhJ9tL_7SkA2LnT_0qXDK0cR2rGILGWo1q0HoP-7ete-scM2Y1dqCfVzmwO0-jNOoanDkuNKmh05hAylGM8CBPcRw4vhts3ZOIVZYh8lg8e-bB8V0P-IZu1UuPPDodPaGMl5sMrSNE96gw6enMManm61ylbOC5ojrk85235O7Mm8fTWkJu0xxyrhGuK7hKOKVlcUWmCeE-dWEDpgNZ9D3lfA-qJZLKT4lZsG5T2L3jkWnFYTHwokOdPtcVINXL02dFIDoESuetTME4eBTNWkKoO6obsvqwlFA,not listed,no,no,yes,not listed,no,Monday: 12:00 PM – 12:00 AM|Tuesday: 12:00 PM – 12:00 AM|Wednesday: 12:00 PM – 12:00 AM|Thursday: 12:00 PM – 12:00 AM|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours
"Pier Head Hotel, Spa & Leisure Centre",ChIJ0bmlE2rDXkgRBmTBV9oOJhY,Sligo,Sligo,"Mullaghmore Harbour, Kilkilloge, Mullaghmore, Co. Sligo, Ireland",http://www.pierheadhotel.ie/,(071) 916 6171,4.2,1075,ATCDNfXxGjnZWLajpHtrn0Zf-jX0v5ZGsungcz4BCdELJNXkeUhBMAjYvZLhW5UUvRPDzBvsOPNqQt0fFY9k9sJDKYu8OJeuXg29oaL5ycOH0b81zAFj7_U_YccmnEglV-UT7oRaViV60BjmFuos_pjHmD1eLVNciATWI54xr5YfJC_anDsOIOOfxs1Lgr9m35UqheiBURf9v1Et69Sd18f5uRAvE2zgiOzhDd6--DO_ptr9qCLtcAtTGy30APMMpHtr2Bo0266JbBzMbgmJW9tMricfNKrOX1uN9NVDCBPooXoZCRd4-HnClNN22w5b_8-LeZ8YQzRkLejBN4FlpPiMlPBdhQorGS0dGbqa6zMX-vD6eDDzrtn_IDUO9lY5Cu3G-YEA8ELsOIREuSV2m4fT1kU8IZaooUh7u2_QD8y3ifeTpiw,not listed,no,no,yes,not listed,yes,
Pirtis Bania Sauna Wolfhill,ChIJQZKGuP5rXUgRfuTFL9fEl6o,Co. Kildare,Laois,"Crissard, Wolfhill, Co. Kildare, R14 VF38, Ireland",,085 100 1406,4.9,43,ATCDNfX_j39Gr5517T7yXEs5lE70F-Fnu-mjFA9D0zi-YGE_wc3kqgZ_4fhe_tkK3QemRQuh8hX50jF7H9r68MqweD0y3NYbxFsVAA1ecDu6NLUYQ5XcK5js_C058eiwcmY5lwdxEeP6t5VZ7BV7XV6ihDAoPbtEK__2j6YorjOjfsS75sOcC0MDuEZfT5zB8HZZaQENHmvlsOghtUS_8nkgg7EK1jOs0edOQfULqDGtXRdDd0NuSssMZiSKuzDjMxPVMjOHE_88AlwcrwJqM6uBt7ZBwO16DvvbAIH6uoArDv74xT7-U5uWTftLgbjOEUtimNuwjCp2441Wcx6gKfBgJ7fYgu7PLCrC4YxEj_WjAqt8tMfmEQXKlTrJ7xVe7OAj0R8TIp9VnriWJLDc6sALjWj_RJ8d5UWd2RXPy-x5DVVQmg,not listed,no,no,no,not listed,no,
Pontoon Sauna,ChIJJcgyovZFWUgReJwUzucK9c4,Foxford,Mayo,"R318, Irishtown, Foxford, Co. Mayo, Ireland",,085 184 1067,4.9,29,ATCDNfWfqdyE6D2shfLGSAjYHLQ-7CRSWKlgvlqaxIOZsWZckeHyeIVvy_EXHik_zauTXI4kdk6D7IMPzulmwEMdyTDONu60wGkfMgh8qiVyZXJL9SAXUS5io3sOdAG0v8pJTT9_8Xhuvl78dlsSl5juv3jMUHP6jPrfFMflukKnQpb6DB08XyuDeGVd7yIh1xRrJRMNmfT2cqeaRC8qaDvRguoUO7MRG9zKJuSYngcChCuY5lO7xsigq5YPSli9M_wv5N20_3ww64DPIEBscjvmfmfh_hWVbW0ctrvUY8YEIc_oTA,not listed,no,no,no,not listed,no,Monday: 10:00 AM – 7:00 PM|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: 10:00 AM – 7:00 PM|Saturday: 10:00 AM – 7:00 PM|Sunday: 10:00 AM – 7:00 PM
Power Saunas,ChIJnVvRBV-9W0gRG1W5oItdkbE,Silverstrand,Galway,"Lenarevagh, Silverstrand, Co. Galway, Ireland",https://powersaunas.ie/,087 454 8333,4.9,77,ATCDNfUOfmvceoaqNsh4VIhrQif_y-v-blYgn_xdAkX-cCgoK8lOGGUDEuRXmx22JcZfbUjRvm5UZUw68R2dMhoe1vOXB959z_zQGI5RlEgoMedSKrpWDKWofdOwC5fkI6dhlVOTdBRCmOoqg4PUIn8BAdCT2rbtlqQWZR0T1lRo9CXw_LR8PVVHHW8cfy-zyD1_lUBpd202uxcIrHZbCYo9bpECHrK9kJlRHvyyZWPjziPBcyOb2Y9UeaYUgXPjA38Oh0Pd5lIwoIOzEBc6Try9PlkeH3FNHK-5B7gktPij0pQGJIIFSHhHppjFMtoGAVH9de_aZ2x9OlvzEgjeOg7odYvLNRgqrRZeJoJ-sYhhpBEmzIR_5J7NpfskdR9jFSNJkET7FW0yP47-6QLmOI3lfrNpViyoMM3moIlWP5pPo5w6szJ0-xpUhxxqMzSt5Q,not listed,no,no,yes,not listed,yes,Monday: 1:00 – 9:00 PM|Tuesday: 1:00 – 9:00 PM|Wednesday: 1:00 – 9:00 PM|Thursday: 1:00 – 9:00 PM|Friday: 1:00 – 9:00 PM|Saturday: 8:00 AM – 8:00 PM|Sunday: 8:00 AM – 8:00 PM
